objname,count,gaze_coordx,gaze_coordy,gaze_coordz,minboundx,minboundy,minboundz,maxboundx,maxboundy,maxboundz,timestamp
1eu4XPbTzBchVWRGaY34Ai,4,(-2.4, -1.1, 5.0),(-2.6, -2.4, 4.9),(-2.4, 2.5, 5.1),4/19/2022 11:50:35 PM
0PfeWE7Aj7GBHCsLa672r6,1,(-2.4, -1.1, 5.0),(-2.6, -2.4, 4.9),(-2.4, 2.5, 5.1),4/19/2022 11:50:35 PM
2lWrGK6Aj43QEHo8Gwf54I,1,(-2.4, -1.1, 5.0),(-2.6, -2.4, 4.9),(-2.4, 2.5, 5.1),4/19/2022 11:50:35 PM
3zbXr_lBv5jgOEo802_LGZ,1,(-3.9, -1.7, 7.6),(-8.8, -2.0, 7.3),(-0.7, 2.5, 8.4),4/19/2022 11:50:35 PM
1eu4XPbTzBchVWRGaY34Ai,4,(-3.9, -1.7, 7.6),(-8.8, -2.0, 7.3),(-0.7, 2.5, 8.4),4/19/2022 11:50:35 PM
0PfeWE7Aj7GBHCsLa672r6,2,(-3.9, -1.7, 7.6),(-8.8, -2.0, 7.3),(-0.7, 2.5, 8.4),4/19/2022 11:50:35 PM
2lWrGK6Aj43QEHo8Gwf54I,1,(-3.9, -1.7, 7.6),(-8.8, -2.0, 7.3),(-0.7, 2.5, 8.4),4/19/2022 11:50:35 PM
3zbXr_lBv5jgOEo802_LGZ,1,(-3.9, 1.3, 7.6),(-8.8, -2.0, 7.3),(-0.7, 2.5, 8.4),4/19/2022 11:50:40 PM
1eu4XPbTzBchVWRGaY34Ai,4,(-3.9, 1.3, 7.6),(-8.8, -2.0, 7.3),(-0.7, 2.5, 8.4),4/19/2022 11:50:40 PM
0PfeWE7Aj7GBHCsLa672r6,3,(-3.9, 1.3, 7.6),(-8.8, -2.0, 7.3),(-0.7, 2.5, 8.4),4/19/2022 11:50:40 PM
2lWrGK6Aj43QEHo8Gwf54I,1,(-3.9, 1.3, 7.6),(-8.8, -2.0, 7.3),(-0.7, 2.5, 8.4),4/19/2022 11:50:40 PM
3zbXr_lBv5jgOEo802_LGZ,1,(-4.7, 2.1, 7.6),(-10.8, 2.1, -0.2),(16.2, 2.5, 23.4),4/19/2022 11:50:40 PM
1eu4XPbTzBchVWRGaY34Ai,4,(-4.7, 2.1, 7.6),(-10.8, 2.1, -0.2),(16.2, 2.5, 23.4),4/19/2022 11:50:40 PM
0PfeWE7Aj7GBHCsLa672r6,3,(-4.7, 2.1, 7.6),(-10.8, 2.1, -0.2),(16.2, 2.5, 23.4),4/19/2022 11:50:40 PM
2lWrGK6Aj43QEHo8Gwf54I,1,(-4.7, 2.1, 7.6),(-10.8, 2.1, -0.2),(16.2, 2.5, 23.4),4/19/2022 11:50:40 PM
2BV8ty4rH4pOWhxXNZufdA,1,(-4.7, 2.1, 7.6),(-10.8, 2.1, -0.2),(16.2, 2.5, 23.4),4/19/2022 11:50:40 PM
3zbXr_lBv5jgOEo802_LGZ,1,(-5.2, 2.1, 7.8),(-8.8, -2.0, 7.3),(-0.7, 2.5, 8.4),4/19/2022 11:50:40 PM
1eu4XPbTzBchVWRGaY34Ai,4,(-5.2, 2.1, 7.8),(-8.8, -2.0, 7.3),(-0.7, 2.5, 8.4),4/19/2022 11:50:40 PM
0PfeWE7Aj7GBHCsLa672r6,4,(-5.2, 2.1, 7.8),(-8.8, -2.0, 7.3),(-0.7, 2.5, 8.4),4/19/2022 11:50:40 PM
2lWrGK6Aj43QEHo8Gwf54I,1,(-5.2, 2.1, 7.8),(-8.8, -2.0, 7.3),(-0.7, 2.5, 8.4),4/19/2022 11:50:40 PM
2BV8ty4rH4pOWhxXNZufdA,1,(-5.2, 2.1, 7.8),(-8.8, -2.0, 7.3),(-0.7, 2.5, 8.4),4/19/2022 11:50:40 PM
3zbXr_lBv5jgOEo802_LGZ,1,(-2.4, 0.6, 5.1),(-2.6, -2.4, 4.9),(-2.4, 2.5, 5.1),4/19/2022 11:50:41 PM
1eu4XPbTzBchVWRGaY34Ai,5,(-2.4, 0.6, 5.1),(-2.6, -2.4, 4.9),(-2.4, 2.5, 5.1),4/19/2022 11:50:41 PM
0PfeWE7Aj7GBHCsLa672r6,4,(-2.4, 0.6, 5.1),(-2.6, -2.4, 4.9),(-2.4, 2.5, 5.1),4/19/2022 11:50:41 PM
2lWrGK6Aj43QEHo8Gwf54I,1,(-2.4, 0.6, 5.1),(-2.6, -2.4, 4.9),(-2.4, 2.5, 5.1),4/19/2022 11:50:41 PM
2BV8ty4rH4pOWhxXNZufdA,1,(-2.4, 0.6, 5.1),(-2.6, -2.4, 4.9),(-2.4, 2.5, 5.1),4/19/2022 11:50:41 PM
3zbXr_lBv5jgOEo802_LGZ,1,(-6.3, 1.3, 7.9),(-8.8, -2.0, 7.3),(-0.7, 2.4, 8.4),4/19/2022 11:50:42 PM
1eu4XPbTzBchVWRGaY34Ai,5,(-6.3, 1.3, 7.9),(-8.8, -2.0, 7.3),(-0.7, 2.4, 8.4),4/19/2022 11:50:42 PM
0PfeWE7Aj7GBHCsLa672r6,5,(-6.3, 1.3, 7.9),(-8.8, -2.0, 7.3),(-0.7, 2.4, 8.4),4/19/2022 11:50:42 PM
2lWrGK6Aj43QEHo8Gwf54I,1,(-6.3, 1.3, 7.9),(-8.8, -2.0, 7.3),(-0.7, 2.4, 8.4),4/19/2022 11:50:42 PM
2BV8ty4rH4pOWhxXNZufdA,1,(-6.3, 1.3, 7.9),(-8.8, -2.0, 7.3),(-0.7, 2.4, 8.4),4/19/2022 11:50:42 PM
3zbXr_lBv5jgOEo802_LGZ,1,(-2.6, 0.0, 7.5),(-8.8, -2.0, 7.3),(-0.7, 2.4, 8.4),4/19/2022 11:50:42 PM
1eu4XPbTzBchVWRGaY34Ai,5,(-2.6, 0.0, 7.5),(-8.8, -2.0, 7.3),(-0.7, 2.4, 8.4),4/19/2022 11:50:42 PM
0PfeWE7Aj7GBHCsLa672r6,6,(-2.6, 0.0, 7.5),(-8.8, -2.0, 7.3),(-0.7, 2.4, 8.4),4/19/2022 11:50:42 PM
2lWrGK6Aj43QEHo8Gwf54I,1,(-2.6, 0.0, 7.5),(-8.8, -2.0, 7.3),(-0.7, 2.4, 8.4),4/19/2022 11:50:42 PM
2BV8ty4rH4pOWhxXNZufdA,1,(-2.6, 0.0, 7.5),(-8.8, -2.0, 7.3),(-0.7, 2.4, 8.4),4/19/2022 11:50:42 PM
3zbXr_lBv5jgOEo802_LGZ,1,(-0.7, -0.6, 7.4),(-0.7, -2.0, 7.3),(-0.7, 0.4, 7.5),4/19/2022 11:50:42 PM
1eu4XPbTzBchVWRGaY34Ai,5,(-0.7, -0.6, 7.4),(-0.7, -2.0, 7.3),(-0.7, 0.4, 7.5),4/19/2022 11:50:42 PM
0PfeWE7Aj7GBHCsLa672r6,6,(-0.7, -0.6, 7.4),(-0.7, -2.0, 7.3),(-0.7, 0.4, 7.5),4/19/2022 11:50:42 PM
2lWrGK6Aj43QEHo8Gwf54I,1,(-0.7, -0.6, 7.4),(-0.7, -2.0, 7.3),(-0.7, 0.4, 7.5),4/19/2022 11:50:42 PM
2BV8ty4rH4pOWhxXNZufdA,1,(-0.7, -0.6, 7.4),(-0.7, -2.0, 7.3),(-0.7, 0.4, 7.5),4/19/2022 11:50:42 PM
3mbCds5Oz1HAYLWvM_Nrve,1,(-0.7, -0.6, 7.4),(-0.7, -2.0, 7.3),(-0.7, 0.4, 7.5),4/19/2022 11:50:42 PM
3zbXr_lBv5jgOEo802_LGZ,1,(-0.6, -0.7, 7.4),(-0.7, -1.9, 7.2),(0.6, 0.4, 7.4),4/19/2022 11:50:42 PM
1eu4XPbTzBchVWRGaY34Ai,5,(-0.6, -0.7, 7.4),(-0.7, -1.9, 7.2),(0.6, 0.4, 7.4),4/19/2022 11:50:42 PM
0PfeWE7Aj7GBHCsLa672r6,6,(-0.6, -0.7, 7.4),(-0.7, -1.9, 7.2),(0.6, 0.4, 7.4),4/19/2022 11:50:42 PM
2lWrGK6Aj43QEHo8Gwf54I,1,(-0.6, -0.7, 7.4),(-0.7, -1.9, 7.2),(0.6, 0.4, 7.4),4/19/2022 11:50:42 PM
2BV8ty4rH4pOWhxXNZufdA,1,(-0.6, -0.7, 7.4),(-0.7, -1.9, 7.2),(0.6, 0.4, 7.4),4/19/2022 11:50:42 PM
3mbCds5Oz1HAYLWvM_Nrve,1,(-0.6, -0.7, 7.4),(-0.7, -1.9, 7.2),(0.6, 0.4, 7.4),4/19/2022 11:50:42 PM
3mbCds5Oz1HAYLWvM_NruE,1,(-0.6, -0.7, 7.4),(-0.7, -1.9, 7.2),(0.6, 0.4, 7.4),4/19/2022 11:50:42 PM
3zbXr_lBv5jgOEo802_LGZ,1,(-0.3, -0.9, 14.8),(-1.1, -2.0, 14.2),(6.4, 2.1, 15.0),4/19/2022 11:50:48 PM
1eu4XPbTzBchVWRGaY34Ai,5,(-0.3, -0.9, 14.8),(-1.1, -2.0, 14.2),(6.4, 2.1, 15.0),4/19/2022 11:50:48 PM
0PfeWE7Aj7GBHCsLa672r6,6,(-0.3, -0.9, 14.8),(-1.1, -2.0, 14.2),(6.4, 2.1, 15.0),4/19/2022 11:50:48 PM
2lWrGK6Aj43QEHo8Gwf54I,1,(-0.3, -0.9, 14.8),(-1.1, -2.0, 14.2),(6.4, 2.1, 15.0),4/19/2022 11:50:48 PM
2BV8ty4rH4pOWhxXNZufdA,1,(-0.3, -0.9, 14.8),(-1.1, -2.0, 14.2),(6.4, 2.1, 15.0),4/19/2022 11:50:48 PM
3mbCds5Oz1HAYLWvM_Nrve,1,(-0.3, -0.9, 14.8),(-1.1, -2.0, 14.2),(6.4, 2.1, 15.0),4/19/2022 11:50:48 PM
3mbCds5Oz1HAYLWvM_NruE,1,(-0.3, -0.9, 14.8),(-1.1, -2.0, 14.2),(6.4, 2.1, 15.0),4/19/2022 11:50:48 PM
0Tvs4M7R97jQCgozPunvhD,1,(-0.3, -0.9, 14.8),(-1.1, -2.0, 14.2),(6.4, 2.1, 15.0),4/19/2022 11:50:48 PM
3zbXr_lBv5jgOEo802_LGZ,1,(-1.9, -1.4, 14.4),(-2.5, -1.9, 13.9),(-1.8, 0.4, 14.5),4/19/2022 11:50:49 PM
1eu4XPbTzBchVWRGaY34Ai,5,(-1.9, -1.4, 14.4),(-2.5, -1.9, 13.9),(-1.8, 0.4, 14.5),4/19/2022 11:50:49 PM
0PfeWE7Aj7GBHCsLa672r6,6,(-1.9, -1.4, 14.4),(-2.5, -1.9, 13.9),(-1.8, 0.4, 14.5),4/19/2022 11:50:49 PM
2lWrGK6Aj43QEHo8Gwf54I,1,(-1.9, -1.4, 14.4),(-2.5, -1.9, 13.9),(-1.8, 0.4, 14.5),4/19/2022 11:50:49 PM
2BV8ty4rH4pOWhxXNZufdA,1,(-1.9, -1.4, 14.4),(-2.5, -1.9, 13.9),(-1.8, 0.4, 14.5),4/19/2022 11:50:49 PM
3mbCds5Oz1HAYLWvM_Nrve,1,(-1.9, -1.4, 14.4),(-2.5, -1.9, 13.9),(-1.8, 0.4, 14.5),4/19/2022 11:50:49 PM
3mbCds5Oz1HAYLWvM_NruE,1,(-1.9, -1.4, 14.4),(-2.5, -1.9, 13.9),(-1.8, 0.4, 14.5),4/19/2022 11:50:49 PM
0Tvs4M7R97jQCgozPunvhD,1,(-1.9, -1.4, 14.4),(-2.5, -1.9, 13.9),(-1.8, 0.4, 14.5),4/19/2022 11:50:49 PM
2lrUU8Tqz92AICLQu1TLwU,1,(-1.9, -1.4, 14.4),(-2.5, -1.9, 13.9),(-1.8, 0.4, 14.5),4/19/2022 11:50:49 PM
3zbXr_lBv5jgOEo802_LGZ,1,(-3.5, -1.8, 12.6),(-4.2, -2.0, 7.9),(-3.5, 2.5, 12.9),4/19/2022 11:50:49 PM
1eu4XPbTzBchVWRGaY34Ai,5,(-3.5, -1.8, 12.6),(-4.2, -2.0, 7.9),(-3.5, 2.5, 12.9),4/19/2022 11:50:49 PM
0PfeWE7Aj7GBHCsLa672r6,6,(-3.5, -1.8, 12.6),(-4.2, -2.0, 7.9),(-3.5, 2.5, 12.9),4/19/2022 11:50:49 PM
2lWrGK6Aj43QEHo8Gwf54I,1,(-3.5, -1.8, 12.6),(-4.2, -2.0, 7.9),(-3.5, 2.5, 12.9),4/19/2022 11:50:49 PM
2BV8ty4rH4pOWhxXNZufdA,1,(-3.5, -1.8, 12.6),(-4.2, -2.0, 7.9),(-3.5, 2.5, 12.9),4/19/2022 11:50:49 PM
3mbCds5Oz1HAYLWvM_Nrve,1,(-3.5, -1.8, 12.6),(-4.2, -2.0, 7.9),(-3.5, 2.5, 12.9),4/19/2022 11:50:49 PM
